epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,828.913,1.00278,1.01643,0.0101,0.90102,0.84686,0.92739,0.68292,1.00941,0.93668,0.00973,0.0264391,0.00881303,0.0264391,0.00881303,0.0264391,0.00881303,0.0264391,0.00881303
48,1514.65,1.01463,1.0416,0.01018,0.87711,0.85004,0.91623,0.67892,1.00763,0.95162,0.00974,0.0262897,0.00876325,0.0262897,0.00876325,0.0262897,0.00876325,0.0262897,0.00876325
49,2144.57,0.99877,1.01913,0.01006,0.87705,0.88001,0.92401,0.68023,1.00807,0.95376,0.00954,0.0261378,0.0087126,0.0261378,0.0087126,0.0261378,0.0087126,0.0261378,0.0087126
50,2709.23,1.0047,1.02076,0.01004,0.86377,0.87692,0.92576,0.68591,0.9997,0.94636,0.00952,0.0259833,0.0086611,0.0259833,0.0086611,0.0259833,0.0086611,0.0259833,0.0086611
51,3254.28,1.03356,1.05017,0.01041,0.86032,0.88847,0.92931,0.68678,0.99691,0.92535,0.00956,0.0258263,0.00860876,0.0258263,0.00860876,0.0258263,0.00860876,0.0258263,0.00860876
52,3848.45,1.10103,1.18521,0.01112,0.86587,0.89595,0.92799,0.6879,0.99968,0.91772,0.00956,0.0256668,0.00855559,0.0256668,0.00855559,0.0256668,0.00855559,0.0256668,0.00855559
53,4580.97,1.11982,1.23408,0.01137,0.89835,0.85274,0.92777,0.68822,0.99205,0.93097,0.00944,0.0255048,0.0085016,0.0255048,0.0085016,0.0255048,0.0085016,0.0255048,0.0085016
54,5347.5,1.10913,1.20361,0.01125,0.87699,0.87443,0.92447,0.69285,0.97431,0.91025,0.00933,0.0253404,0.00844681,0.0253404,0.00844681,0.0253404,0.00844681,0.0253404,0.00844681
55,6188.25,1.11557,1.20294,0.01138,0.87764,0.87351,0.92629,0.69429,0.97555,0.90739,0.00941,0.0251737,0.00839123,0.0251737,0.00839123,0.0251737,0.00839123,0.0251737,0.00839123
56,6912.11,1.11257,1.20905,0.01142,0.86823,0.87345,0.92258,0.69113,0.97553,0.92388,0.00934,0.0250046,0.00833488,0.0250046,0.00833488,0.0250046,0.00833488,0.0250046,0.00833488
